taxonID,description,type,language,rightsHolder,source,license
wfo-0000693018,"5–7. Rocailles, prés secs ; sols calcaire ; xérothermophile ; coll.(-mont.). VS, TI mérid., rare OB et ANC.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-1200100142,"Coll.-mont.(-subalp.). TI, GR (vallées mérid.).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000103614,Coll.-mont. Vallées des Alpes centr. et mérid.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000860268,"8–9. Prés secs, buissons ; xérothermophile ; coll. TI mérid., VS central (Vallée du Rhône), VD.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000885202,"7–10. Chemins, décombres ; autrefois cultivé ; coll. P, J, plus rare A (manque en Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000332143,"6–9. Chemins, lieux incultes ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000693046,"4–5. Prés secs, vignes ; coll.-mont. VS, TI, GR (Vallées de Mesocco et de Poschiavo), PW, dispersé ailleurs.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000693052,"5–7. Garides, rocailles, prés secs ; xérothermophile ; sols calcaires ; coll.-mont. J (jusqu'à AG), PW, VS, TI mérid., GR, SG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000053409,"7–8. Pelouses sèches, rocailles ; (subalp.-)alp. A.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000289406,"5–6. Forêts, buissons ; surtout dans les vallées à foehn ; coll.-mont. AN et P zones préalpines (ouest jusqu'à Interlaken), TI, GR (manque Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000001610,"8. Fentes des rochers, éboulis ; alp. VS (Zermatt).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000752489,Coll.(-mont.). CH.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000289552,"6–7. Forêts claires, pentes rocheuses ; calcicole ; xérothermophile ; coll.(-mont.). J (NE jusqu'à SH), ZH, SG, GR.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000693173,"5–9. Vignes, lieux incultes, décombres ; coll. TI, peu fréquent AN et P.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000373976,"7–9. Sols argileux, humides, temporairement inondés ; coll.-mont. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000932960,"4–6. Haies, lisières, fossés, reposoirs ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000932963,"4–5. Prés secs, buissons, forêts de châtaigniers ; coll.-mont. VS, TI.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000752682,"Coll. TI, GR (Vallée de Poschiavo), VS, BE, AG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000527292,"6–7. Eaux tranquilles ou lentes ; coll.-mont.(-subalp.). P, plus rare A et J.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001019409,"6–8. Forêts claires, esserts, lisières ; coll.-mont. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001273396,6–8. Cultivés dans les étangs artificiels ; parfois subspontanés.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000693355,"5–9. Champs, terrains vagues, décombres, vignobles ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000374132,"7–9. Prairies marécageuses ; coll. TI mérid., GR (Val Bregaglia), TG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000693435,"5–9. Champs, broussailles, décombres ; coll.-mont.(-subalp.). AS, PE, JN (SH).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000104342,6–8. Prairies maigres ; coll.-mont.(-subalp.). CH.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
