WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0001343460,86090682,86090679,Sorbus bosniaca,ROSACEAE,Sorbus,bosniaca,,,,"A.Hajrudinović, Frajman, Schönsw. & F.Bogunić",Endangered,B1ab(iii),3.1,Unknown,Global & Europe
wfo-0001012473,86091125,86091120,Sorbus cordigastensis,ROSACEAE,Sorbus,cordigastensis,,,,N.Mey.,Endangered,D,3.1,Stable,Global & Europe
wfo-0001012490,86091266,86091262,Sorbus doerriana,ROSACEAE,Sorbus,doerriana,,,,N.Mey.,Endangered,D,3.1,Unknown,Global & Europe
wfo-0001005856,86091288,86091285,Sorbus dolomiticola,ROSACEAE,Sorbus,dolomiticola,,,,Mikoláš.,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe
wfo-0000997048,86091498,86091489,Sorbus eximia,ROSACEAE,Sorbus,eximia,,,,Kovanda,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe
wfo-0001012482,86091579,86091575,Sorbus fischeri,ROSACEAE,Sorbus,fischeri,,,,N.Mey.,Endangered,D,3.1,Stable,Global & Europe
wfo-0001005711,86091633,86091612,Sorbus gemella,ROSACEAE,Sorbus,gemella,,,,Kovanda,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe
wfo-0001012484,86093508,86093504,Sorbus haesitans,ROSACEAE,Sorbus,haesitans,,,,Meierott,Endangered,D,3.1,Stable,Global & Europe
wfo-0001338870,86134668,86095479,Sorbus herefordensis,ROSACEAE,Sorbus,herefordensis,,,,D.Green,Endangered,D,3.1,Stable,Global & Europe
wfo-0001012475,86134683,86095515,Sorbus hoppeana,ROSACEAE,Sorbus,hoppeana,,,,N.Mey.,Endangered,D,3.1,Stable,Global & Europe
wfo-0001331517,86134698,86095987,Sorbus legrei,ROSACEAE,Sorbus,legrei,,,,Cornier,Endangered,D,3.1,Unknown,Global & Europe
wfo-0000998711,86134728,86097793,Sorbus pseudolatifolia,ROSACEAE,Sorbus,pseudolatifolia,,,,Boros,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe
wfo-0001012487,86134743,86098002,Sorbus puellarum,ROSACEAE,Sorbus,puellarum,,,,Meierott,Endangered,B1ab(iii)+2ab(iii); D,3.1,Decreasing,Global & Europe
wfo-0001012477,86134758,86098265,Sorbus ratisbonensis,ROSACEAE,Sorbus,ratisbonensis,,,,N.Mey.,Endangered,D,3.1,Stable,Global & Europe
wfo-0001331518,86134763,86098540,Sorbus remensis,ROSACEAE,Sorbus,remensis,,,,Cornier,Endangered,B1ab(iii),3.1,Unknown,Global & Europe
wfo-0001345434,86134808,86098960,Sorbus hornadensis,ROSACEAE,Sorbus,hornadensis,,,,Mikoláš,Endangered,B1ab(iii)+2ab(iii); D,3.1,Decreasing,Global & Europe
wfo-0001443456,86134818,86100320,Sorbus madoniensis,ROSACEAE,Sorbus,madoniensis,,,,"Raimondo, G.Castellano, Bazan & Schicchi",Endangered,D,3.1,Unknown,Global & Europe
wfo-0001334054,86134828,86102694,Sorbus omissa,ROSACEAE,Sorbus,omissa,,,,Velebil,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe
wfo-1200075267,86134863,86105683,Sorbus tauricola,ROSACEAE,Sorbus,tauricola,,,,Zaik. ex Sennikov,Endangered,B1ab(v),3.1,Decreasing,Global & Europe
wfo-0000414802,86136001,83751963,Teline tribracteolata,FABACEAE,Teline,tribracteolata,,,,(Webb) Talavera & P.E.Gibbs,Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i); D",3.1,Decreasing,Global & Europe
wfo-0000213739,86136111,83756729,Genista haenseleri,FABACEAE,Genista,haenseleri,,,,Boiss.,Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global & Europe
wfo-0000460321,86136281,83772394,Rhamnus ludovici-salvatoris,RHAMNACEAE,Rhamnus,ludovici-salvatoris,,,,Chodat,Endangered,"B2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global & Europe
wfo-0000400253,86136306,83772628,Rhododendron myrtifolium,ERICACEAE,Rhododendron,myrtifolium,,,,Schott & Kotschy,Endangered,"B2ab(iii,iv)",3.1,Decreasing,Global & Europe
