wfo-1000041331,Smilax elegans Wall. ex Kunth,Enum. Pl. 5: 163. 1850.
wfo-0000739413,Smilax elegans subsp. osmastonii (F.T.Wang & Tang) Noltie,Edinburgh J. Bot. 51: 155. 1994.
wfo-0000742584,Smilax ferox Wall. ex Kunth,Enum. Pl. 5: 251. 1850.
wfo-0000773544,Smilax lanceifolia Roxb. ,Fl. Ind. 3: 792. 1832. 
wfo-0000739268,Smilax lanceifolia var. elongata (Warb.) F.T.Wang & Tang,Fl. Reipubl. Popularis Sin. 15: 220. 1978.
wfo-0000742709,Smilax menispermoidea A.DC.,Monogr. Phan. 1: 108. 1878.
wfo-0000742796,Smilax minutiflora A.DC.,Monogr. Phan. 1: 109. 1878.
wfo-0000739430,Smilax munita S.C.Chen,Acta Phytotax. Sin. 34(4): 436. 1996.
wfo-0000742776,Smilax myrtillus A.DC.,Monogr. Phan. 1: 106. 1878.
wfo-0000741808,Smilax ocreata A.DC.,Monogr. Phan. 1: 191. 1878.
wfo-0000742310,Smilax orthoptera A.DC.,Monogr. Phan. 1: 192. 1878.
wfo-0000741815,Smilax ovalifolia Roxb. ex D.Don,Prodr. Fl. Nepal. 49. 1825.
wfo-0000741873,Smilax perfoliata Lour.,Fl. Cochinch. 2: 622. 1790.
wfo-0000741992,Smilax wallichii Kunth,Enum. Pl. 5: 246. 1850. 
wfo-0000741982,Smilax wightii A.DC.,Monogr. Phan. 1: 174. 1878. 
wfo-0000741997,Smilax zeylanica L.,Sp. Pl. 2: 1029. 1753. 
wfo-0000762955,Cardiocrinum giganteum (Wall.) Makino,Bot. Mag. (Tokyo) 27: 125. 1913. 
wfo-0000763752,Clintonia udensis var. alpina (Kunth ex Baker) H.Hara,J. Jap. Bot. 38: 72. 1963.
wfo-0000767733,Fritillaria cirrhosa D.Don,Prod. Fl. Nepal. 51. 1825.
wfo-0000767750,Fritillaria crassicaulis S.C.Chen,Acta Phytotax. Sin. 15(2): 36. 1977.
wfo-0000920756,Gagea flavonutans (H.Hara) Zarrei & Wilkin,Phytotaxa 15: 53. 2011. 
wfo-0000768544,Gagea lutea (L.) Ker Gawl.,Bot. Mag. 30: t. 1200. 1809.
wfo-0000768569,Gagea nakaiana Kitag.,Rep. Inst. Sci. Res. Manchoukuo 3(App. 1): 136. 1939.
wfo-0000835655,"Gagea noltiei Peruzzi, J.-M.Tison, A.Peterson & J.Peterson",Taxon 57(4): 1212. 2008. 
wfo-0000768660,Gagea serotina (L.) Ker Gawl.,J. Sci. Arts (London) 1: 180. 1816.
wfo-0000685154,Lilium bakerianum Collett & Hemsl.,"J. Linn. Soc., Bot. 28: 138, pl. 22. 1890."
wfo-0000773263,Lilium nanum Klotzsch ,Bot. Ergebn. Reise Waldemar 53. 1862. 
wfo-0000771947,Lilium nanum var. flavidum (Rendle) Sealy,Bot. Mag. 169: t. 218. 1952.
wfo-0000679061,Lilium nepalense D.Don,Mem. Werner. Nat. Hist. Soc. 3: 412. 1821. 
wfo-0000677186,Lilium oxypetalum (D.Don) Baker,"J. Linn. Soc., Bot. 14: 234. 1874."
wfo-0000680815,Lilium sherriffiae Stearn,J. Roy. Hort. Soc. 75: 192. 1950.
wfo-0000773745,Lilium wallichianum Schult. & Schult.f.,Syst. Veg. 7(2): 1689. 1830.
