WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000985485,"कठलँगे, शिला झार  (Kathlange, Shila jhar)","कठलँगे, शिला झार ","Kathlange, Shila jhar",,
wfo-0001009478,"मसिनो झार, येचुरुक  (Masino jhar, Yechuruk: Tibetan)","मसिनो झार, येचुरुक ","Masino jhar, Yechuruk: Tibetan",,
wfo-0001342322,सक्कली जिब्रे झार  (Sakkali jibre jhar),सक्कली जिब्रे झार ,Sakkali jibre jhar,,
wfo-0001342324,बज्रदन्ती  (Bajradanti),बज्रदन्ती ,Bajradanti,,
wfo-0001342329,ताछेर  (Tachher: Tibetan),ताछेर ,Tachher: Tibetan,,
wfo-0001342335,"मुला झार, काली ऐँसेलु  (Mula jhar, Kali ainselu)","मुला झार, काली ऐँसेलु ","Mula jhar, Kali ainselu",,
wfo-0001016123,ढल्के फूल  (Dhalke phul),ढल्के फूल ,Dhalke phul,,
wfo-0001008746,"काउसे फूल, राईन्स  (Kause phul, Raeens)","काउसे फूल, राईन्स ","Kause phul, Raeens",,
wfo-0001018327,छार्वा  (Chharwa: Tibetan),छार्वा ,Chharwa: Tibetan,,
wfo-0000999681,सार  (Tsar: Gurung),सार ,Tsar: Gurung,,
wfo-0001005347,"खरेटो, घँगारु  (Khareto, Ghangaru)","खरेटो, घँगारु ","Khareto, Ghangaru",,
wfo-0000988929,चिनिया फल  (Chiniya phal),चिनिया फल ,Chiniya phal,,
wfo-0001017396,चिनिया फल  (Chiniya phal),चिनिया फल ,Chiniya phal,,
wfo-0001003548,"पासी, मेहुल  (Pasi, Mehul)","पासी, मेहुल ","Pasi, Mehul",,
wfo-0001017652,जुरे काफल  (Jure kaphal),जुरे काफल ,Jure kaphal,,
wfo-0001007328,माया  (Maya),माया ,Maya,,
wfo-0000989952,कर्ण फूल झार  (Karna phool jhar),कर्ण फूल झार ,Karna phool jhar,,
wfo-0000984780,भुईं ऐँसेलु  (Bhuin ainselu),भुईं ऐँसेलु ,Bhuin ainselu,,
wfo-0000986010,बेलोचन  (Belochan),बेलोचन ,Belochan,,
wfo-1000004209,नाझिल  (Najhil),नाझिल ,Najhil,,
wfo-1000004214,पाङ्घमे  (Panghame),पाङ्घमे ,Panghame,,
wfo-1000004221,"च्युली, लेक मयल   (Chyuli, Lek mayal)","च्युली, लेक मयल  ","Chyuli, Lek mayal",,
wfo-0000990296,हात्ती लहरो  (Hatti laharo),हात्ती लहरो ,Hatti laharo,,
wfo-0000990312,हात्ती लहरो  (Hatti laharo),हात्ती लहरो ,Hatti laharo,,
wfo-0000990555,"गज फूल, लहरे बाकलपाते  (Gaj phul, Lahare bakalpate)","गज फूल, लहरे बाकलपाते ","Gaj phul, Lahare bakalpate",,
wfo-0000995607,जुरे मयल  (Jure mayal),जुरे मयल ,Jure mayal,,
wfo-0000991189,ह्युमी  (Hyumi),ह्युमी ,Hyumi,,
wfo-0000984000,"सर्पे काफल, भुईं काफल  (Sarpe kaphal, Bhuin kaphal)","सर्पे काफल, भुईं काफल ","Sarpe kaphal, Bhuin kaphal",,
wfo-0001316332,"सपलँग, सल्याँगसाई  (Saplang, Salyangsai: Chepang)","सपलँग, सल्याँगसाई ","Saplang, Salyangsai: Chepang",,
wfo-0001002467,कौवा काफल  (Kauwa kaphal),कौवा काफल ,Kauwa kaphal,,
wfo-0000991597,बज्रदन्ती  (Bajradanti),बज्रदन्ती ,Bajradanti,,
wfo-0000985975,धतेलो  (Dhatelo),धतेलो ,Dhatelo,,
wfo-0000991689,"खुर्पानी, जङ्गली खुर्पानी  (Khurpani, Jangali khurpani)","खुर्पानी, जङ्गली खुर्पानी ","Khurpani, Jangali khurpani",,
wfo-0001007955,आरु बखडा  (Aaru bakhada),आरु बखडा ,Aaru bakhada,,
wfo-0001017427,पैँयु  (Painyu),पैँयु ,Painyu,,
wfo-0001018017,भाटे काठ  (Bhate kath),भाटे काठ ,Bhate kath,,
wfo-0000986027,"लेक आरु, आरुपाते  (Lek aaru, Aarupate)","लेक आरु, आरुपाते ","Lek aaru, Aarupate",,
wfo-1200027060,"झुसे आरु, खमु  (Jhuse aaru, Khamu)","झुसे आरु, खमु ","Jhuse aaru, Khamu",,
wfo-0001017558,झुसे आरु  (Jhuse aaru),झुसे आरु ,Jhuse aaru,,
wfo-0000986031,"जङ्गली पैँयु, जङ्गली आरु  (Jangali painyu, Jangali aaru)","जङ्गली पैँयु, जङ्गली आरु ","Jangali painyu, Jangali aaru",,
wfo-0001011017,खोसिनी  (Khoshini),खोसिनी ,Khoshini,,
wfo-0000984412,"घँगारु, काठ गेडी   (Ghangaru, Kath gedi)","घँगारु, काठ गेडी  ","Ghangaru, Kath gedi",,
wfo-0000992562,मयल  (Mayal),मयल ,Mayal,,
wfo-0000985884,भैँसी काँडा  (Bhainsi kanda),भैँसी काँडा ,Bhainsi kanda,,
wfo-0001015979,जङ्गली गुलाब  (Jangali gulab),जङ्गली गुलाब ,Jangali gulab,,
wfo-0000985829,"भोटे गुलाफ, दारिम पाते  (Bhote gulaf, Darim pate)","भोटे गुलाफ, दारिम पाते ","Bhote gulaf, Darim pate",,
wfo-0001018046,भोटे गुलाफ  (Bhote gulaf),भोटे गुलाफ ,Bhote gulaf,,
wfo-0001015852,"रातो ऐँसेलु, सानो ऐँसेलु  (Rato ainselu, Sano ainselu)","रातो ऐँसेलु, सानो ऐँसेलु ","Rato ainselu, Sano ainselu",,
wfo-0000985865,सानो गुलाफ  (Sano gulaf),सानो गुलाफ ,Sano gulaf,,
wfo-0000993502,भुईं ऐँसेलु  (Bhuin ainselu),भुईं ऐँसेलु ,Bhuin ainselu,,
wfo-0001002128,"ऐँसेलु, पहेँलो ऐँसेलु  (Ainselu, Pahenlo ainselu)","ऐँसेलु, पहेँलो ऐँसेलु ","Ainselu, Pahenlo ainselu",,
wfo-0001003509,भुईं ऐँसेलु  (Bhuin ainselu),भुईं ऐँसेलु ,Bhuin ainselu,,
wfo-0001017728,"कालो ऐँसेलु, सानो ऐँसेलु  (Kalo ainselu, Sano ainselu)","कालो ऐँसेलु, सानो ऐँसेलु ","Kalo ainselu, Sano ainselu",,
wfo-0001015848,घ्याम्पे ऐँसेलु  (Ghyampe ainselu),घ्याम्पे ऐँसेलु ,Ghyampe ainselu,,
wfo-0001017584,जोगी ऐँसेलु  (Jogi ainselu),जोगी ऐँसेलु ,Jogi ainselu,,
wfo-0001000385,भुईं ऐँसेलु  (Bhuin ainselu),भुईं ऐँसेलु ,Bhuin ainselu,,
wfo-0001015865,"रुख ऐँसेलु, भालु ऐँसेलु  (Rukh ainselu, Bhalu ainselu)","रुख ऐँसेलु, भालु ऐँसेलु ","Rukh ainselu, Bhalu ainselu",,
wfo-0001015844,लेक ऐँसेलु  (Lek ainselu),लेक ऐँसेलु ,Lek ainselu,,
