wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000824191,Threat status,lc,Moonlight P.W. et al.,,5144,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825366,Threat status,lc,Moonlight P.W. et al.,,5172,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824144,Threat status,vu,Moonlight P.W. et al.,,5178,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039703,Threat status,dd,Moonlight P.W. et al.,,5181,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023956,Threat status,vu,Moonlight P.W. et al.,,5192,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823462,Threat status,lc,Moonlight P.W. et al.,,5209,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039704,Threat status,cr,Moonlight P.W. et al.,,5221,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000062269,Threat status,nt,,,6157,CC0 1.0 Universal (CC0 1.0),"2024, A new species Begonia ziroensis and a new record of Begonia siamensis from Arunachal Pradesh, Northeast India, N. Z. J. Bot (https://doi.org/10.1080/0028825X.2023.2295439)",https://doi.org/10.1080/0028825X.2023.2295439
wfo-1000052031,Threat status,cr,Moonlight P.W. & Kelly D.L.,,6160,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Kelly D.L. 2024, Two New Critically Endangered Species of Begonia sect. Gireoudia (Begoniaceae) from Mesoamerica, Novon. Vol.32.",
wfo-1000052032,Threat status,cr,Moonlight P.W. & Kelly D.L.,,6166,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Kelly D.L. 2024, Two New Critically Endangered Species of Begonia sect. Gireoudia (Begoniaceae) from Mesoamerica, Novon. Vol.32.",
wfo-1000061600,Threat status,dd,"Hajong B., Bhat N.A. & Bharali P.",,6173,CC0 1.0 Universal (CC0 1.0),"Hajong B., Bhat N.A. & Bharali P. 2024, A new species of Begonia (Begoniaceae) from Mishmi Hills of Arunachal Pradesh, India, Phytotaxa. Vol.637(3) , pp.285-290.",
wfo-0000824410,Threat status,cr,"Dela Cruz C.J.P., Collantes J.P.R., Bustamante R.A.A. & Ang Y.P.",,6175,CC0 1.0 Universal (CC0 1.0),"Dela Cruz C.J.P., Collantes J.P.R., Bustamante R.A.A. & Ang Y.P. 637, Insights on Begonia jagori (Begoniaceae), a cryptic species of Albay Province, Luzon Island, Philippines, Phytotaxa. Vol.3(2024) , pp.291-295.",
wfo-1000062270,Threat status,cr,"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X.",,6179,CC0 1.0 Universal (CC0 1.0),"Tian D.K., Wei H., Huang C., Wu L., Chen Z., Gou Z., Sun X., Wang S., Gao Q., Li X. 2024, Two new species of Begoniaceae from China mainland , Taiwania. Vol.69(1) , pp.89-98.",
wfo-1000062272,Threat status,en,"Zhou J., Song Q., Zhao F., Hoang T.S., Tao D., Guan S., Yan H., Tian D.",,6189,CC0 1.0 Universal (CC0 1.0),"Zhou J., Song Q., Zhao F., Hoang T.S., Tao D., Guan S., Yan H., Tian D. 2024, Begonia floriprolifera, a new Species of Begonia（Begoniaceae）from Southwestern Guangxi of China and Northern Vietnam, Taiwania. Vol.69(1) , pp.83-88.",
wfo-1000055830,Threat status,vu,"Feng X.X., Chen Y.M., Lui J.X., Huang Y.N., Liu Z.X., Li R.K., Zhao T. & Guo W",,6196,CC0 1.0 Universal (CC0 1.0),"Feng X.X., Chen Y.M., Lui J.X., Huang Y.N., Liu Z.X., Li R.K., Zhao T. & Guo W 2024, Begonia barosma, a new species in Begonia sect. Coelocentrum (Begoniaceae) from limestone karsts across Sino-Vietnamese Border, Taiwania. Vol.68(3) , pp.349-354.",
wfo-1000056838,Threat status,en,"Mazo K.R.F., Salatan N.L. & Rubite R.",,6202,CC0 1.0 Universal (CC0 1.0),"Mazo K.R.F., Salatan N.L. & Rubite R. 2023, A new species of Begonia section Baryandra from Zamboanga Peninsula, Southwestern Philippines, Webbia. Vol.78(2) , pp.87-92.",
wfo-1000062274,Threat status,lc,"Blasco F.A., Alejandro G.J.D., Tandang D.N. & Rubite R.R.",,6208,CC0 1.0 Universal (CC0 1.0),"Blasco F.A., Alejandro G.J.D., Tandang D.N. & Rubite R.R. 2024, Begonia abhak (section Petermannia, Begoniaceae) a new species from Lanuza, Surigao del Sur, Philippines, Webbia. Vol.79(1) , pp.47-50.",
