wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-1000056240,Compositae,Chromolaena ivifolia (L.) R.M.King & H.Rob.,Chromolaena ivifolia, (L.) R.M.King & H.Rob.,"Phytologia 20(3): 202, 1970.",Sufrútice,"Bosques ribereños, Algarrobales, Palmares, Pastizales higrófilos, Herbazales hidrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-ivifolia
wfo-0000090695,Compositae,Chromolaena laevigata (Lam.) R.M.King & H.Rob.,Chromolaena laevigata, (Lam.) R.M.King & H.Rob.,"Phytologia 20(3): 202, 1970.",Sufrútice,"Bosques ribereños, Pastizales higrófilos, Herbazales hidrófilos",Nanofanerófita,https://florauruguaya.org/taxonomias/chromolaena-laevigata
wfo-0000031251,Compositae,Chromolaena pedunculosa (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena pedunculosa, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 47: 231, 1980.",Sufrútice,"Matorrales xerófilos, Pastizales xerófilos",Caméfita,https://florauruguaya.org/taxonomias/chromolaena-pedunculosa
wfo-0000137485,Compositae,Chromolaena polyantha (Sch.Bip. ex Baker) R.M.King & H.Rob.,Chromolaena polyantha, (Sch.Bip. ex Baker) R.M.King & H.Rob.,"Phytologia 20(3): 205, 1970.",Sufrútice,Pastizales higrófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-polyantha
wfo-0000080354,Compositae,Chromolaena squarroso-ramosa (Hieron.) R.M.King & H.Rob.,Chromolaena squarroso-ramosa, (Hieron.) R.M.King & H.Rob.,"Phytologia 20(3): 206, 1970.",Sufrútice,"Algarrobales, Pastizales higrófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-squarroso-ramosa
wfo-0000127744,Compositae,Chromolaena squarrulosa (Hook. & Arn.) R.M.King & H.Rob.,Chromolaena squarrulosa, (Hook. & Arn.) R.M.King & H.Rob.,"Phytologia 20(3): 206, 1970.",Hierba perenne,"Palmares, Matorrales xerófilos, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-squarrulosa
wfo-0000046403,Compositae,Chromolaena verbenacea (DC.) R.M.King & H.Rob.,Chromolaena verbenacea, (DC.) R.M.King & H.Rob.,"Phytologia 20(3): 207, 1970.",Sufrútice,"Matorrales mesófilos, Pastizales xerófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chromolaena-verbenacea
wfo-0000043608,Compositae,Chrysanthellum indicum DC.,Chrysanthellum indicum, DC.,"Prodr. [A. P. de Candolle] 5: 631, 1836.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/chrysanthellum-indicum
wfo-0000069687,Compositae,Chrysanthemum carinatum Schousb.,Chrysanthemum carinatum, Schousb.,"Iagttag. Vextrig. Marokko 198, t. 6, 1800.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/chrysanthemum-carinatum
wfo-0000075483,Compositae,Chrysanthemum coronarium L.,Chrysanthemum coronarium, L.,"Sp. Pl. [Linnaeus] 2: 890, 1753.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/chrysanthemum-coronarium
