wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000213120,urn:kew.org:ftea:spec:ref:24747,"Dale & Greenway, Kenya Trees and Shrubs p. 354 (1961).",Dale & Greenway,1961,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24748,"F. White, Forest Flora of Northern Rhodesia p. 138 (1962).",F. White,1962,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24749,Torre in Consp. Fl. Angol. 3: 79 (1962).,Torre,1962,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24750,"Gibbs in Bol. Soc. Brot., sér. 2, 41: 98, fig. 5, map 3 (1967).",Gibbs,1967,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000212311,urn:kew.org:ftea:spec:ref:24751,"Oliv. in Journal of the Linnean Society of London, Botany 21: 399 (1885).",Oliv.,1885,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:516099-1#bibliography,urn:lsid:ipni.org:names:516099-1
wfo-0000212311,urn:kew.org:ftea:spec:ref:24752,"Burtt Davy, Man. Fl. Pl. & Ferns Transv.: 374 (1932).",Burtt Davy,1932,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:516099-1#bibliography,urn:lsid:ipni.org:names:516099-1
wfo-0000212311,urn:kew.org:ftea:spec:ref:24753,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 436 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:516099-1#bibliography,urn:lsid:ipni.org:names:516099-1
wfo-0000212311,urn:kew.org:ftea:spec:ref:24754,"Dale & Greenway, Kenya Trees and Shrubs p. 374 (1961).",Dale & Greenway,1961,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:516099-1#bibliography,urn:lsid:ipni.org:names:516099-1
wfo-0000212311,urn:kew.org:ftea:spec:ref:24755,"F. White, Forest Flora of Northern Rhodesia p. 161 (1962).",F. White,1962,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:516099-1#bibliography,urn:lsid:ipni.org:names:516099-1
wfo-0000213077,urn:kew.org:ftea:spec:ref:24760,Fresen. in Flora 22: 49 (1839).,Fresen.,1839,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:523702-1#bibliography,urn:lsid:ipni.org:names:523702-1
