title,description
Tonga,"TDWG Code: TON-OO"
Trinidad-Tobago,"TDWG Code: TRT-OO"
Tuamotu,"TDWG Code: TUA-OO"
"Tubuai Is.","TDWG Code: TUB-OO"
Turkey-in-Europe,"TDWG Code: TUE-OO"
Tunisia,"TDWG Code: TUN-OO"
Turkey,"TDWG Code: TUR-OO"
Tuvalu,"TDWG Code: TUV-OO"
Tuva,"TDWG Code: TVA-OO"
Gauteng,"TDWG Code: TVL-GA"
Mpumalanga,"TDWG Code: TVL-MP"
"Northern Province","TDWG Code: TVL-NP"
"North West Province","TDWG Code: TVL-NW"
Tadzhikistan,"TDWG Code: TZK-OO"
Uganda,"TDWG Code: UGA-OO"
Moldova,"TDWG Code: UKR-MO"
Ukraine,"TDWG Code: UKR-UK"
Uruguay,"TDWG Code: URU-OO"
Utah,"TDWG Code: UTA-OO"
Uzbekistan,"TDWG Code: UZB-OO"
Vanuatu,"TDWG Code: VAN-OO"
Venezuela,"TDWG Code: VEN-OO"
Vermont,"TDWG Code: VER-OO"
Victoria,"TDWG Code: VIC-OO"
Vietnam,"TDWG Code: VIE-OO"
"Venezuelan Antilles","TDWG Code: VNA-OO"
Virginia,"TDWG Code: VRG-OO"
"Wake I.","TDWG Code: WAK-OO"
"Wallis-Futuna Is.","TDWG Code: WAL-OO"
Washington,"TDWG Code: WAS-OO"
"Ashmore-Cartier Is.","TDWG Code: WAU-AC"
"Western Australia","TDWG Code: WAU-WA"
"District of Columbia","TDWG Code: WDC-OO"
"Himachal Pradesh","TDWG Code: WHM-HP"
Jammu-Kashmir,"TDWG Code: WHM-JK"
Uttaranchal,"TDWG Code: WHM-UT"
Barbados,"TDWG Code: WIN-BA"
Dominica,"TDWG Code: WIN-DO"
Grenada,"TDWG Code: WIN-GR"
Martinique,"TDWG Code: WIN-MA"
St.Lucia,"TDWG Code: WIN-SL"
St.Vincent,"TDWG Code: WIN-SV"
Wisconsin,"TDWG Code: WIS-OO"
"Western Sahara","TDWG Code: WSA-OO"
"West Siberia","TDWG Code: WSB-OO"
"West Virginia","TDWG Code: WVA-OO"
Wyoming,"TDWG Code: WYO-OO"
"Christmas I.","TDWG Code: XMS-OO"
Yakutskiya,"TDWG Code: YAK-OO"
"North Yemen","TDWG Code: YEM-NY"
"South Yemen","TDWG Code: YEM-SY"
Bosnia-Herzegovina,"TDWG Code: YUG-BH"
Croatia,"TDWG Code: YUG-CR"
Kosovo,"TDWG Code: YUG-KO"
Macedonia,"TDWG Code: YUG-MA"
Montenegro,"TDWG Code: YUG-MN"
Serbia,"TDWG Code: YUG-SE"
Slovenia,"TDWG Code: YUG-SL"
Yukon,"TDWG Code: YUK-OO"
Za,"TDWG Code: ZAI-OO"
Zambia,"TDWG Code: ZAM-OO"
Zimbabwe,"TDWG Code: ZIM-OO"
