LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10615,wfo-0000830769,Cyananthus himalaicus K.K.Shrestha,Brittonia 44: 253. 1992.,,,C Nepal: 3200-3600 m. ,Endemic to Nepal.
NEP10616,wfo-0000830770,Cyananthus hookeri C.B.Clarke,Fl. Brit. India 3: 435. 1881.,,,"W, C, E Nepal: 2600-4300 m. ","Nepal, E Himalaya, Tibetan Plateau and E Asia."
NEP10617,wfo-0000830775,Cyananthus incanus Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 20. 1858. ",,,"C, E Nepal: 2100-5000 m. ","Nepal, E Himalaya, Tibetan Plateau and E Asia."
NEP10620,wfo-0000830781,Cyananthus inflatus Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 21. 1858.",,,"W, C, E Nepal: 2000-4500 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia."
NEP10623,wfo-0000830788,Cyananthus lobatus Wall. ex Benth.,Ill. Bot. Himal. 309. 1836.,lg/laifL ,Nirbisi,"W, C, E Nepal: 3300-4700 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. "
NEP10624,wfo-0000830794,Cyananthus macrocalyx Franch. subsp. spathulifolius (Nannf.) K.K.Shrestha ,"K.K.Shrestha, Acta Phytotax. Sin. 35: 412. 1997.",,,"C, E Nepal: 3200-5100 m. ","Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP10626,wfo-0000838790,Cyananthus microphyllus Edgew. subsp. microphyllus,Trans. Linn. Soc. London 20: 81. 1851.,,,"W, C, E Nepal: 2500-4800 m. ","Nepal, W Himalaya and Tibetan Plateau."
NEP10629,wfo-0001366964,Cyananthus microphyllus Edgew. subsp. williamsonii K.K.Shrestha,Acta Phytotax. Sin. 35(5): 419. 1997.,,,"W, C Nepal: 4100-5000 m. ",Endemic to Nepal.
NEP10630,wfo-0000830805,Cyananthus pedunculatus C.B.Clarke ,Fl. Brit. India 3: 434. 1881. ,,,"C, E Nepal: 3000-4800 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP10631,wfo-0000831035,Cyclocodon lancifolius (Roxb.) Kurz ,Flora 55: 303. 1872.,,,"C, E Nepal: 700-1900 m.","Nepal, E Himalaya, Tibetan Plateau, S Asia, E Asia and SE Asia."
NEP10634,wfo-0001346260,Himalacodon dicentrifolius (C.B.Clarke) D.Y.Hong & Qiang Wang ,J. Syst. Evol. 52(5): 549. 2014.,,,"W, C, E Nepal: 2100-5200 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP10637,wfo-0000813933,Lobelia alsinoides Lam. ,Encycl. 3(2): 588. 1792. ,,,"W, C, E Nepal: 200-1000 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10639,wfo-1200027140,Lobelia chinensis Lour.  var. chinensis,Fl. Cochinch. 2: 514. 1790.,PSn]la/ ,Eklebir,C Nepal: 1300-1500 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP10641,wfo-1200027141,Lobelia chinensis Lour. var. pilosa Kitam.,Fauna Fl. Nepal Himalaya 242. 1955.,,,C Nepal: 1400 m. ,Endemic to Nepal.
NEP10642,wfo-0000815566,Lobelia erectiuscula H.Hara ,J. Jap. Bot. 40(11): 328. 1965.,,,"C, E Nepal: 100-4300 m. ","Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP10644,wfo-0000815178,Lobelia heyneana Schult. ,Syst. Veg. 5: 50. 1819. ,,,"W, C, E Nepal: 1200-2500 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa."
NEP10646,wfo-0000815712,Lobelia nicotianifolia Roth,Syst. Veg. (ed. 15 bis) 5: 47. 1819.,,,"W, C, E Nepal: 1400-3200 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10649,wfo-0000815753,Lobelia nummularia Lam. ,Encycl. 3: 589. 1792. ,lgnf] 3f]8tfk|] ,Nilo ghodtapre,"W, C, E Nepal: 1000-2400 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. "
NEP10653,wfo-0000815003,Lobelia pyramidalis Wall. ,Asiat. Res. 13: 376. 1820.,PSn]la/ ,Eklebir,"W, C, E Nepal: 1100-2300 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, E Asia and SE Asia. "
NEP10655,wfo-0000815592,Lobelia rosea Wall. ,Pl. Asiat. Rar. 2: 42. 1831. ,,,"W, C, E Nepal: 100-1200 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma and SE Asia."
NEP10656,wfo-0000814634,Lobelia zeylanica L. ,Sp. Pl. 2: 932. 1753. ,,,"C, E Nepal: 200-800 m. ","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10658,wfo-0001346261,Pankycodon purpureus (Wall.) D.Y.Hong & X.T.Ma ,J. Syst. Evol. 52(5): 549. 2014. ,,,"W, C, E Nepal: 1200-3100 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP10663,wfo-0000817986,Peracarpa carnosa (Wall.) Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 26. 1858.",sfnL d'G6] ,Kali munte,"C, E Nepal: 1900-3000 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia."
