wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000185327,193990912,193988345,Acacia stenophylla,FABACEAE,Acacia,stenophylla,,,,A.Cunn. ex Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185329,186002006,186002004,Acacia saxatilis,FABACEAE,Acacia,saxatilis,,,,S.Moore,Least Concern,,3.1,Stable,Global
wfo-0000185330,22484311,22483811,Acacia shirleyi,FABACEAE,Acacia,shirleyi,,,,Maiden,Least Concern,,3.1,Stable,Global
wfo-0000185333,198974177,198972445,Acacia verniciflua,FABACEAE,Acacia,verniciflua,,,,A.Cunn.,Least Concern,,3.1,Unknown,Global
wfo-0000185334,193990922,193988457,Acacia victoriae,FABACEAE,Acacia,victoriae,,,,Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185335,177372879,177372877,Acacia wattsiana,FABACEAE,Acacia,wattsiana,,,,F.Muell. ex Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185337,200149859,200143272,Acacia silvestris,FABACEAE,Acacia,silvestris,,,,Tindale,Least Concern,,3.1,Unknown,Global
wfo-0000185340,198974162,198972253,Acacia paradoxa,FABACEAE,Acacia,paradoxa,,,,DC.,Least Concern,,3.1,Unknown,Global
wfo-0000185341,177369276,177369274,Acacia concurrens,FABACEAE,Acacia,concurrens,,,,Pedley,Least Concern,,3.1,Stable,Global
wfo-0000185347,200149834,200143117,Acacia oxycedrus,FABACEAE,Acacia,oxycedrus,,,,Sieber ex DC.,Least Concern,,3.1,Unknown,Global
wfo-0000185348,172926662,172926660,Acacia pyrifolia,FABACEAE,Acacia,pyrifolia,,,,DC.,Least Concern,,3.1,Stable,Global
wfo-0000185350,146627547,146627545,Acacia pruinocarpa,FABACEAE,Acacia,pruinocarpa,,,,Tindale,Least Concern,,3.1,Stable,Global
wfo-0000185365,172927488,172927486,Acacia pentadenia,FABACEAE,Acacia,pentadenia,,,,Lindl.,Least Concern,,3.1,Stable,Global
wfo-0000185366,146628018,82772505,Acacia salicina,FABACEAE,Acacia,salicina,,,,Lindl.,Least Concern,,3.1,Stable,Global
wfo-0000185383,20106265,19379299,Melilotus italicus,FABACEAE,Melilotus,italicus,,,,(L.) Lam.,Least Concern,,3.1,Stable,Global
wfo-0000185395,20106404,19893139,Melilotus serratifolius,FABACEAE,Melilotus,serratifolius,,,,Tackh. & Boulos,Data Deficient,,3.1,Unknown,Global
wfo-0000185459,101608071,73094135,Cytisus proliferus,FABACEAE,Cytisus,proliferus,,,,L.f.,Least Concern,,3.1,Stable,Global & Europe
wfo-0000185470,81766889,79722994,Adenocarpus foliolosus,FABACEAE,Adenocarpus,foliolosus,,,,(Aiton) DC.,Least Concern,,3.1,Stable,Global & Europe
wfo-0000185472,5972383,165109,Adenocarpus ombriosus,FABACEAE,Adenocarpus,ombriosus,,,,Ceballos & Ortuño,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global & Europe
wfo-0000185473,127908117,19892142,Adenocarpus viscosus,FABACEAE,Adenocarpus,viscosus,,,,(Willd.) Webb & Berthel.,Least Concern,,3.1,Stable,Global & Europe
wfo-0000185497,101608337,101608332,Cytisus supranubius,FABACEAE,Cytisus,supranubius,,,,(L.f.) Kuntze,Least Concern,,3.1,Unknown,Global & Europe
wfo-0000185512,103454399,103454396,Genista desoleana,FABACEAE,Genista,desoleana,,,,Vals.,Least Concern,,3.1,Unknown,Global & Europe
wfo-0000185520,102822051,19892254,Genista maderensis,FABACEAE,Genista,maderensis,,,,(Webb & Berthel.) Lowe,Least Concern,,3.1,Stable,Global & Europe
wfo-0000185538,202720560,177375470,Acacia spirorbis,FABACEAE,Acacia,spirorbis,,,,Labill.,Least Concern,,3.1,Stable,Global
wfo-0000185541,147626663,147626661,Albizia odoratissima,FABACEAE,Albizia,odoratissima,,,,(L.f.) Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185543,62026261,62026259,Intsia palembanica,FABACEAE,Intsia,palembanica,,,,Miq.,Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
wfo-0000185557,20145738,19891638,Sphaerophysa salsula,FABACEAE,Sphaerophysa,salsula,,,,(Pall.) DC.,Least Concern,,3.1,Stable,Global
